dataset,metric,percentile,value
ml_ready,Steps,0,0.0
ml_ready,Steps,1,7.0
ml_ready,Steps,5,171.9000000000001
ml_ready,Steps,10,1026.0
ml_ready,Steps,25,2799.25
ml_ready,Steps,50,5086.0
ml_ready,Steps,75,8186.0
ml_ready,Steps,90,11403.0
ml_ready,Steps,95,13300.55
ml_ready,Steps,99,16881.31
ml_ready,Steps,100,19954.0
ml_ready,minute_sum,0,1200.0
ml_ready,minute_sum,1,1210.0
ml_ready,minute_sum,5,1257.0
ml_ready,minute_sum,10,1331.0
ml_ready,minute_sum,25,1440.0
ml_ready,minute_sum,50,1440.0
ml_ready,minute_sum,75,1440.0
ml_ready,minute_sum,90,1440.0
ml_ready,minute_sum,95,1440.0
ml_ready,minute_sum,99,1440.0
ml_ready,minute_sum,100,1440.0
ml_ready_plus_840,Steps,0,0.0
ml_ready_plus_840,Steps,1,8.0
ml_ready_plus_840,Steps,5,974.0
ml_ready_plus_840,Steps,10,1961.2000000000007
ml_ready_plus_840,Steps,25,3770.0
ml_ready_plus_840,Steps,50,6223.0
ml_ready_plus_840,Steps,75,9560.0
ml_ready_plus_840,Steps,90,12534.800000000003
ml_ready_plus_840,Steps,95,14568.799999999988
ml_ready_plus_840,Steps,99,18995.90000000001
ml_ready_plus_840,Steps,100,44409.0
ml_ready_plus_840,minute_sum,0,841.0
ml_ready_plus_840,minute_sum,1,848.0
ml_ready_plus_840,minute_sum,5,877.0
ml_ready_plus_840,minute_sum,10,902.0
ml_ready_plus_840,minute_sum,25,956.0
ml_ready_plus_840,minute_sum,50,1035.0
ml_ready_plus_840,minute_sum,75,1440.0
ml_ready_plus_840,minute_sum,90,1440.0
ml_ready_plus_840,minute_sum,95,1440.0
ml_ready_plus_840,minute_sum,99,1440.0
ml_ready_plus_840,minute_sum,100,1440.0
